# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
kao le 	考了	c=1 d=1 t=108545
kao leng mian 	烤冷麪	c=5 d=1 t=209523
kao li 	靠裏	c=1 d=1 t=241459
kao lv 	考慮	c=34 d=1 t=294526
kao lv kao lv 	考慮考慮	c=3 d=1 t=273986
kao pu 	靠譜	c=8 d=1 t=294523
kao qian 	考前	c=1 d=1 t=237903
kao qian 	靠前	c=1 d=1 t=257410
kao qin 	考勤	c=8 d=2.07611 t=295015
kao rou 	烤肉	c=1 d=0.1 t=265134
kao rou ban fan 	烤肉拌飯	c=1 d=1 t=265135
kao rou fan 	烤肉飯	c=1 d=1 t=207565
kao shi 	考試	c=5 d=1.87372 t=277433
kao xiang 	烤箱	c=0 d=0.1 t=208218
kao ya 	烤鴨	c=3 d=1.97045 t=191719
kao yan 	考研	c=5 d=1 t=272456
kao yu 	烤魚	c=3 d=2.73977 t=150912
ke 	克	c=0 d=0.1 t=173468
ke 	刻	c=1 d=0.1 t=179668
ke 	可	c=289 d=0.753121 t=299031
ke 	客	c=0 d=0.1 t=189533
ke 	殼	c=2 d=1 t=275087
ke 	渴	c=1 d=1 t=291209
ke 	磕	c=2 d=1.82696 t=156327
ke 	科	c=3 d=1.99501 t=221733
ke 	課	c=11 d=1 t=271119
ke bian 	可變	c=24 d=1.54069 t=282022
ke bian ji 	可編輯	c=5 d=1 t=272495
ke bu 	可不	c=2 d=1 t=171436
ke bu ke 	可不可	c=1 d=1 t=169738
ke bu ke xing 	可不可行	c=1 d=1 t=142267
ke bu ke yi 	可不可以	c=4 d=1 t=260944
ke cha 	可查	c=17 d=1.00023 t=262329
ke cheng 	課程	c=4 d=1 t=255502
ke chuan 	客船	c=3 d=1.88537 t=240140
ke dao 	可到	c=1 d=1 t=25085
ke de 	可得	c=3 d=1 t=298766
ke de zhi 	可得知	c=1 d=1 t=287386
ke dian ji 	可點擊	c=1 d=1 t=37829
ke du 	刻度	c=1 d=1 t=127393
ke du 	可都	c=1 d=1 t=127392
ke duo 	可多	c=1 d=1 t=292874
ke fang wen 	可訪問	c=1 d=1 t=37493
ke fou 	可否	c=1 d=1 t=168506
ke fu 	客服	c=21 d=1 t=298665
ke fu shuo 	客服說	c=1 d=1 t=146002
ke gou 	可夠	c=2 d=1 t=268440
ke hao 	可好	c=1 d=1 t=170924
ke hu 	客戶	c=2 d=0.101114 t=249331
ke hu de ren 	客戶的人	c=1 d=1 t=249332
ke hu duan 	客戶端	c=54 d=1 t=283389
ke hu ming cheng 	客戶名稱	c=1 d=1 t=199293
ke huan 	科幻	c=1 d=1 t=31386
ke hui 	可會	c=1 d=1 t=231692
ke hui 	科慧	c=1 d=1 t=276598
ke hui fu 	可恢復	c=1 d=1 t=282388
ke ji 	科技	c=14 d=1 t=268035
ke jian 	可見	c=15 d=1 t=289842
ke jian xing 	可见性	c=4 d=3.4534 t=289887
ke jiao hu 	可交互	c=1 d=1 t=246533
ke kao 	可靠	c=1 d=1 t=158022
ke kao 	科考	c=2 d=1.99005 t=158020
ke ke 	咳咳	c=1 d=1 t=36302
ke kou 	剋扣	c=1 d=1 t=237668
ke kuai 	可快	c=1 d=1 t=292935
ke la dao 	可拉到	c=1 d=1 t=121914
ke li 	柯里	c=0 d=0.1 t=64859
ke li 	顆粒	c=0 d=0.1 t=246594
ke li gan 	顆粒感	c=1 d=1 t=246595
ke li hua 	柯里化	c=7 d=0.254807 t=65694
ke lian 	可憐	c=1 d=1 t=25332
ke ling 	可領	c=1 d=1 t=209818
ke long 	克隆	c=17 d=1.9802 t=183281
ke long 	科龍	c=1 d=1 t=35115
ke man le 	可慢了	c=1 d=1 t=51198
ke mu 	課目	c=2 d=1.099 t=270858
ke mu san 	課目三	c=2 d=1.99005 t=270859
ke neng 	可能	c=145 d=1 t=296709
ke neng xiu 	可能修	c=1 d=1 t=210335
ke niu 	可牛	c=1 d=1 t=292170
ke pei 	可配	c=6 d=1 t=286364
ke qi 	客氣	c=1 d=1 t=204408
ke rang 	可讓	c=1 d=1 t=46695
ke ren 	科任	c=1 d=1 t=227699
ke shi 	可是	c=1 d=1 t=168727
ke shi 	可視	c=5 d=0.733447 t=299031
ke shi hua 	可視化	c=10 d=1 t=291346
ke shi qu 	可視區	c=1 d=0.1 t=296738
ke shi qu yu 	可視區域	c=1 d=1 t=296739
ke shu 	可數	c=3 d=2.9458 t=236110
ke shuai 	可帥	c=1 d=1 t=162673
ke sou 	咳嗽	c=5 d=1 t=216870
ke su lu 	克蘇魯	c=1 d=1 t=154654
ke suan 	可算	c=5 d=1 t=263689
ke tan 	可談	c=1 d=1 t=291030
ke tang 	課堂	c=2 d=0.00509243 t=299031
ke ti 	客梯	c=1 d=1 t=136415
ke ti dai 	可替代	c=1 d=1 t=289619
ke ting 	客廳	c=5 d=1 t=291097
ke wo si 	科沃斯	c=1 d=1 t=197729
ke wu 	可無	c=1 d=1 t=285796
ke xi 	可惜	c=4 d=0.601576 t=239189
ke xiao 	可笑	c=1 d=1 t=228279
ke xin 	可信	c=1 d=1 t=248002
ke xing 	可行	c=5 d=1 t=237897
ke xiu gai 	可修改	c=3 d=1.9802 t=183600
ke xuan 	可選	c=29 d=1.9802 t=266663
ke xuan lei xing 	可選類型	c=1 d=1 t=198002
ke xuan xiang 	可選項	c=1 d=1 t=184238
ke xuan zhi 	可選值	c=1 d=1 t=34951
ke xue 	科學	c=3 d=1 t=266658
ke yan 	可言	c=1 d=1 t=156546
ke yang 	渴仰	c=1 d=1 t=35969
ke yi 	刻意	c=1 d=1 t=62609
ke yi 	可以	c=1715 d=0.801959 t=299031
ke yi ba 	可以吧	c=1 d=1 t=167499
ke yi bu 	可以不	c=1 d=1 t=208473
ke yi bu ke 	可以不可	c=1 d=1 t=74779
ke yi chu 	可移除	c=1 d=1 t=272106
ke yi de 	可以的	c=2 d=1 t=141871
ke yi en 	可以恩	c=2 d=1 t=133676
ke yi gai 	可以改	c=1 d=1 t=72791
ke yi kan 	可以看	c=1 d=1 t=196539
ke yi ke 	可以可	c=2 d=1 t=152824
ke yi ke yi 	可以可以	c=4 d=1 t=160832
ke yi le 	可以了	c=8 d=1 t=161804
ke yi lian tiao 	可以聯調	c=1 d=1 t=52460
ke yi ling 	可以領	c=1 d=1 t=288926
ke yi ma 	可以嗎	c=3 d=1 t=260595
ke yi o 	可以哦	c=1 d=1 t=40846
ke yi qu 	可以去	c=1 d=1 t=49436
ke yi shan 	可以刪	c=2 d=1 t=184913
ke yi shi shi 	可以試試	c=1 d=1 t=55271
ke yi shi yong 	可以使用	c=1 d=1 t=242772
ke yi shu ru 	可以輸入	c=1 d=1 t=51770
ke yi shuo 	可以說	c=1 d=1 t=117142
ke yi tiao zheng 	可以調整	c=1 d=1 t=206819
ke yi tiao zhuan 	可以跳轉	c=1 d=1 t=119518
ke yi ting 	可以停	c=1 d=1 t=180018
ke yi tui 	可以推	c=1 d=1 t=39291
ke yi tui 	可以退	c=2 d=1 t=171740
ke yi xiu 	可以修	c=1 d=1 t=210320
ke yi xuan 	可以選	c=1 d=1 t=137925
ke yi yong 	可以用	c=3 d=1 t=207518
ke yi yu suan 	可以預算	c=1 d=1 t=167478
ke yi zai 	可以在	c=3 d=1 t=249679
ke yi zhi dao 	可以知道	c=1 d=1 t=109853
ke yi zhuan zhang 	可以轉賬	c=1 d=1 t=289785
ke yong 	可用	c=11 d=1 t=296911
ke you 	可有	c=1 d=1 t=285795
ke yu 	可與	c=6 d=1 t=104920
ke yun 	客運	c=0 d=0.1 t=240140
ke yun ma tou 	客運碼頭	c=1 d=1 t=240141
ke zai 	可在	c=1 d=1 t=98711
ke zhen xing 	可真行	c=1 d=1 t=288681
ke zhi ding 	可指定	c=1 d=1 t=58911
ke zhi fu 	可支付	c=1 d=1 t=289892
ke zhi hua 	客製化	c=1 d=1 t=64274
ke zhi xing 	可執行	c=1 d=1 t=232392
ke zhou qiu ai 	刻舟求愛	c=4 d=2.98506 t=203893
ke zi 	殼子	c=37 d=0.1 t=287127
ke zi li 	殼子裏	c=2 d=1.54064 t=119631
ke zi o 	殼子哦	c=1 d=1 t=54555
ken 	啃	c=7 d=1 t=253170
ken 	肯	c=3 d=0.1 t=141194
ken a 	肯啊	c=4 d=1 t=279758
ken de ji 	肯德基	c=3 d=1.25411 t=166435
ken ding 	肯定	c=87 d=0.00733572 t=299031
ken huang 	墾荒	c=0 d=0.1 t=19830
ken la 	肯啦	c=9 d=1 t=238471
ken li 	墾利	c=1 d=1 t=186826
keng 	坑	c=16 d=0.00161245 t=299031
keng lan 	坑爛	c=1 d=1 t=56421
keng qian 	坑錢	c=1 d=1 t=157614
kong 	控	c=1 d=0.12938 t=299031
kong 	空	c=108 d=0.818731 t=299031
kong bai 	空白	c=1 d=1 t=31106
kong chao 	空巢	c=2 d=1.68755 t=242564
kong chao lao ren 	空巢撈人	c=1 d=1 t=242565
kong chu 	空出	c=1 d=1 t=269568
kong ci 	控詞	c=1 d=1 t=72631
kong dan 	空彈	c=3 d=1 t=278419
kong dan kai 	空彈開	c=1 d=1 t=14559
kong dan ken 	空彈肯	c=1 d=1 t=141195
kong de 	空的	c=1 d=1 t=131753
kong den 	空㩐	c=1 d=1 t=51817
kong dui xiang 	空對象	c=3 d=1 t=261861
kong er 	空兒	c=1 d=1 t=126011
kong fang 	空方	c=0 d=0.1 t=165849
kong ge 	空個	c=2 d=1 t=60658
kong ge 	空格	c=13 d=1 t=264619
kong gu 	空谷	c=1 d=1 t=212426
kong gu 	空鼓	c=1 d=1 t=212427
kong jian 	控件	c=82 d=0.0347353 t=299031
kong jian 	空間	c=20 d=1.88872 t=250452
kong jian fu za du 	空间复杂度	c=3 d=2.46735 t=252885
kong jian yin pin 	空間音頻	c=1 d=1 t=148659
kong jiang 	空降	c=1 d=1 t=165856
kong lan 	空欄	c=1 d=1 t=143620
kong liang 	空兩	c=1 d=1 t=49766
kong ling qi 	孔令奇	c=1 d=1 t=268034
kong long 	恐龍	c=3 d=1 t=232248
kong pa 	恐怕	c=1 d=1 t=225724
kong pin 	空拼	c=4 d=1.91851 t=190918
kong ping 	控屏	c=42 d=1 t=243466
kong qi 	空氣	c=2 d=1.98511 t=167785
kong que 	空缺	c=1 d=1 t=250645
kong shu ju 	空數據	c=5 d=1.17709 t=181798
kong tiao 	空調	c=15 d=0.1 t=285570
kong tiao shan 	空調扇	c=1 d=1 t=285571
kong tou 	空投	c=1 d=1 t=275904
kong wei zhi 	空位置	c=1 d=1 t=128509
kong xi 	空隙	c=1 d=1 t=226156
kong xian 	空閒	c=5 d=1 t=259934
kong yu 	空餘	c=2 d=1 t=252346
kong zhi 	控制	c=70 d=0.124985 t=299031
kong zhi 	空值	c=3 d=1 t=230926
kong zhi fang shi 	控制方式	c=2 d=1.956 t=79021
kong zhi liu 	控制流	c=1 d=1 t=182479
kong zhi tai 	控制檯	c=4 d=1 t=208987
kong zhi zhu 	控制住	c=1 d=1 t=209992
kong zhong 	空中	c=0 d=0.1 t=24258
kong zhong 	空鐘	c=1 d=1 t=23499
kong zhong da 	空中大	c=1 d=1 t=24259
kong zi fu 	空字符	c=2 d=1 t=159099
kou 	口	c=10 d=0.965605 t=299031
kou 	摳	c=5 d=1 t=192932
kou 	釦	c=31 d=1 t=293270
kou bei 	口碑	c=1 d=1 t=277363
kou chu 	扣除	c=3 d=1 t=221400
kou chu fen zhi 	扣除分值	c=1 d=1 t=114095
kou fei 	扣費	c=1 d=1 t=251944
kou ji xiao 	釦績效	c=1 d=1 t=221521
kou qian 	扣錢	c=5 d=1.90937 t=267517
kou shui 	扣稅	c=1 d=1 t=242653
kou yu 	口語	c=4 d=1.0001 t=232902
kou zhang 	口張	c=1 d=1 t=185349
kou zhao 	口罩	c=8 d=1 t=208658
ku 	哭	c=6 d=1.17204 t=242481
ku 	庫	c=92 d=0.00456255 t=299031
ku 	苦	c=3 d=2.85632 t=129562
ku 	褲	c=1 d=1 t=239480
ku 	酷	c=2 d=1 t=208380
ku ai 	酷愛	c=1 d=1 t=224376
ku cun 	庫存	c=7 d=1.47497 t=147939
ku fang 	庫房	c=4 d=1.50145 t=147937
ku gou 	酷狗	c=5 d=1 t=220495
ku jia le 	酷家樂	c=26 d=1 t=291024
ku le jia 	酷樂家	c=1 d=1 t=149430
ku nan 	苦難	c=1 d=1 t=290780
ku qi 	哭泣	c=1 d=1 t=167812
ku yue dui 	庫樂隊	c=2 d=1.96079 t=171258
ku zi 	褲子	c=5 d=1 t=292515
kua 	跨	c=4 d=0.100021 t=249192
kua du 	跨度	c=1 d=1 t=201766
kua duan 	跨端	c=1 d=1 t=13393
kua jie 	跨界	c=3 d=1 t=280253
kua ke 	夸克	c=1 d=1 t=170672
kua lian qiao 	跨鏈橋	c=1 d=1 t=289697
kua nian 	跨年	c=1 d=1 t=192094
kua ping tai 	跨平臺	c=5 d=1 t=289706
kua qu 	跨區	c=1 d=1 t=88078
kua yu 	跨域	c=18 d=1.01888 t=259361
kua yu 	跨預	c=1 d=1 t=17742
kua yue 	跨越	c=1 d=1 t=250657
kua yue 	跨躍	c=1 d=1 t=250656
kua zhan dian 	跨站點	c=1 d=1 t=249193
kua zi 	侉子	c=1 d=1 t=119507
kuai 	塊	c=47 d=0.0275271 t=299031
kuai 	快	c=125 d=1.01557 t=298894
kuai che 	快車	c=2 d=1 t=289564
kuai chi 	快喫	c=0 d=0.1 t=27864
kuai chong 	快充	c=1 d=1 t=171754
kuai da 	快打	c=3 d=0.1 t=207482
kuai da wan le 	快打完了	c=1 d=1 t=207483
kuai dao 	快到	c=1 d=1 t=173052
kuai di 	快遞	c=60 d=1 t=298541
kuai di dan hao 	快遞單號	c=4 d=1 t=167620
kuai di gou 	快遞勾	c=1 d=1 t=176333
kuai di gui 	快遞櫃	c=1 d=1 t=176334
kuai di yuan 	快遞員	c=4 d=1 t=39615
kuai di yuan 	快遞源	c=2 d=1.56836 t=9574
kuai dian 	快點	c=4 d=1 t=241522
kuai du 	快度	c=2 d=1 t=287148
kuai fu 	快浮	c=1 d=1 t=29922
kuai hao le 	快好了	c=1 d=1 t=188997
kuai ji 	會計	c=1 d=1 t=44307
kuai ji zhu shi 	塊及註釋	c=1 d=1 t=47859
kuai jie 	快捷	c=14 d=1.03182 t=171252
kuai jie cao zuo 	快捷操作	c=2 d=1 t=124240
kuai jie jian 	快捷鍵	c=16 d=1 t=266683
kuai jie zhi ling 	快捷指令	c=2 d=1.07577 t=171540
kuai jin 	快進	c=1 d=1 t=142334
kuai le 	快了	c=7 d=1 t=265788
kuai le 	快樂	c=11 d=2.1605e-05 t=299031
kuai le dong xi 	快樂東西	c=1 d=1 t=125964
kuai qian 	塊錢	c=5 d=1 t=274408
kuai qiang 	快槍	c=0 d=0.1 t=264731
kuai qiang cha li 	快槍查理	c=1 d=1 t=264732
kuai shen 	塊身	c=2 d=1.94649 t=296563
kuai si 	快死	c=1 d=1 t=156757
kuai su 	快速	c=20 d=1 t=290079
kuai su pai xu 	快速排序	c=1 d=1 t=252884
kuai tou 	塊頭	c=5 d=2.13375 t=297121
kuai xia ban 	快下班	c=1 d=1 t=298523
kuai xia ban le ba 	快下班了吧	c=1 d=1 t=260609
kuai yao 	快要	c=3 d=1.00002 t=142537
kuai zhao 	快照	c=2 d=1 t=249822
kuan 	寬	c=13 d=1 t=263134
kuan 	款	c=22 d=1 t=223585
kuan dai 	寬帶	c=6 d=2.00569 t=263302
kuan dai fei 	寬帶非	c=1 d=1 t=215505
kuan du 	寬度	c=65 d=1 t=297500
kuan du fei 	寬度費	c=1 d=1 t=214896
kuan fan 	寬泛	c=2 d=1.8781 t=250809
kuan fen 	寬粉	c=1 d=1 t=157267
kuan gao 	寬高	c=5 d=1 t=269365
kuan song 	寬鬆	c=2 d=1.98511 t=249859
kuan su 	款素	c=2 d=1 t=280263
kuang 	框	c=42 d=0.261846 t=299031
kuang 	況	c=1 d=1 t=3891
kuang 	狂	c=0 d=0.0187308 t=299031
kuang 	礦	c=4 d=1.83367 t=128376
kuang an 	框按	c=1 d=1 t=226001
kuang ao 	狂傲	c=1 d=1 t=194296
kuang biao 	狂飆	c=3 d=1.00006 t=197956
kuang chang 	曠廠	c=1 d=1 t=181240
kuang chang 	礦廠	c=16 d=1 t=196932
kuang chang ming 	礦廠名	c=1 d=1 t=182943
kuang ding 	狂頂	c=6 d=1 t=197320
kuang du 	曠度	c=1 d=1 t=29967
kuang en 	框恩	c=1 d=1 t=158703
kuang feng 	狂風	c=1 d=1 t=236628
kuang gong 	礦工	c=9 d=4.44361 t=297695
kuang ji 	礦機	c=1 d=1 t=297651
kuang jia 	框架	c=36 d=1.05698 t=283869
kuang jian 	狂簡	c=6 d=1.29969 t=283824
kuang ke 	曠課	c=0 d=0.0187308 t=299031
kuang kua 	框跨	c=1 d=1 t=131158
kuang kuang 	框框	c=2 d=1 t=65648
kuang kuang ke 	狂曠課	c=1 d=0.188247 t=299031
kuang long 	筐籠	c=0 d=0.1 t=14956
kuang long jia 	筐籠加	c=1 d=1 t=14957
kuang ping tai 	框平臺	c=1 d=1 t=13285
kuang qie 	況且	c=3 d=1 t=114905
kuang shan 	礦山	c=1 d=0.0122161 t=299031
kuang shi 	礦石	c=4 d=2.45318 t=297710
kuang xiang qu 	狂想曲	c=0 d=0.1 t=154668
kuang xuan 	框選	c=3 d=1.75202 t=15255
kuang zhu 	礦主	c=3 d=2.85086 t=297673
kui 	虧	c=3 d=1 t=297857
kui ben 	虧本	c=0 d=0.1 t=51958
kui qian 	虧錢	c=0 d=0.1 t=251486
kui wei 	魁偉	c=3 d=1 t=133177
kun 	困	c=5 d=0.0104621 t=299031
kun bang 	捆綁	c=0 d=0.1 t=262158
kun le 	困了	c=1 d=1 t=74861
kun nan 	困難	c=3 d=1.00443 t=290774
kun si 	困死	c=1 d=1 t=211210
kuo 	括	c=1 d=1 t=261444
kuo 	擴	c=20 d=1 t=222957
kuo bie 	闊別	c=1 d=1 t=226350
kuo da 	擴大	c=3 d=1 t=39697
kuo hao 	括號	c=5 d=1 t=257406
kuo ling er 	擴靈兒	c=1 d=1 t=145030
kuo yi 	闊以	c=1 d=1 t=231826
kuo zhan 	擴展	c=19 d=1 t=289391
kuo zhan ming 	擴展名	c=2 d=1 t=169757
la 	啦	c=536 d=2.77579 t=299031
la 	拉	c=78 d=1 t=295117
la 	辣	c=3 d=1 t=290383
la ba 	喇叭	c=1 d=1 t=89212
la bi 	蠟筆	c=3 d=1 t=145641
la bi xiao xin 	蠟筆小新	c=15 d=1 t=193676
la dao 	拉到	c=12 d=1.83527 t=293322
la dao ba 	拉到吧	c=2 d=1 t=285260
la du zi 	拉肚子	c=2 d=1 t=131803
la ge 	拉戈	c=1 d=1 t=276168
la gou 	拉鉤	c=3 d=1 t=255531
la heng fu 	拉橫幅	c=1 d=1 t=207210
la huo 	拉货	c=1 d=1 t=273964
la ji 	垃圾	c=24 d=1 t=297136
la ji hui shou 	垃圾回收	c=5 d=2.62189 t=257557
la ji la ji 	垃圾垃圾	c=1 d=1 t=107656
la ji qing yun 	垃圾清運	c=1 d=1 t=216055
la jiao 	辣椒	c=2 d=0.1 t=236684
la jin qu 	拉進去	c=1 d=1 t=24512
la ju 	拉鋸	c=1 d=1 t=90441
la la 	拉拉	c=1 d=1 t=244700
la la la 	啦啦啦	c=1 d=1 t=135802
la le 	拉了	c=1 d=1 t=159732
la li 	拉里	c=1 d=1 t=171074
la lian 	拉鍊	c=1 d=1 t=100921
la ma 	啦嗎	c=1 d=1 t=11344
la ni 	啦你	c=1 d=1 t=24523
la pi 	拉皮	c=1 d=1 t=157255
la qu 	拉取	c=6 d=1 t=261996
la sa 	拉薩	c=1 d=1 t=13883
la shen 	拉伸	c=2 d=1 t=250302
la shi 	拉屎	c=4 d=1 t=290379
la si 	拉絲	c=1 d=1 t=228672
la suo 	拉鎖	c=2 d=1.79453 t=60516
la tiao 	辣條	c=1 d=1 t=187903
la xia 	拉下	c=2 d=1 t=196598
la xia 	落下	c=1 d=1 t=205350
la xia le 	落下了	c=1 d=1 t=122662
la xing 	啦行	c=2 d=1 t=281470
la yi 	拉曳	c=1 d=1 t=122069
la yi xia 	啦一下	c=4 d=1 t=232840
la yi xia 	拉一下	c=1 d=1 t=194141
la yi xia ba 	啦一下吧	c=1 d=1 t=168859
lai 	來	c=615 d=0.882497 t=299031
lai ba 	來吧	c=8 d=1.99501 t=205054
lai bu liao 	來不了	c=3 d=1 t=284438
lai de 	來的	c=4 d=1 t=189533
lai de ji 	來得及	c=7 d=1 t=271384
lai dian 	來電	c=6 d=1 t=271515
lai dian 	來點	c=4 d=1 t=254782
lai ge 	來個	c=14 d=1 t=286366
lai ge zhang hao 	來個帳號	c=1 d=1 t=184338
lai gen 	來跟	c=1 d=1 t=110592
lai gong si 	來公司	c=1 d=1 t=8226
lai guo 	來過	c=1 d=1 t=124457
lai hui 	來回	c=6 d=1.99005 t=285464
lai jiang 	來講	c=1 d=1 t=62600
lai kan 	來看	c=2 d=4.33183e-05 t=299031
lai la 	來啦	c=1 d=1 t=8258
lai lai 	來來	c=29 d=1 t=168664
lai lai lai 	來來來	c=7 d=5.30753 t=149761
lai lai lai lai 	來來來來	c=6 d=5.16299 t=149741
lai lai lai lai lai lai 	來來來來來來	c=8 d=5.85988 t=149718
lai lai lai lai lai lai lai 	來來來來來來來	c=2 d=1.45841 t=149721
lai lai lai lai lai lai lai lai 	來來來來來來來來	c=1 d=1 t=149542
lai lai lai lai lai lai lai lai lai 	來來來來來來來來來	c=1 d=1 t=149699
lai lai lai lai lai lai lai lai lai lai 	來來來來來來來來來來	c=1 d=1 t=149676
lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai lai 	來來來來來來來來來來來來來來來來來來來來來來來來來來來來來來	c=1 d=1 t=149677
lai le 	來了	c=9 d=1 t=288955
lai qi 	來氣	c=3 d=1 t=213214
lai ren 	來人	c=1 d=1 t=220320
lai shan 	萊山	c=1 d=1 t=238837
lai shui 	來水	c=2 d=1 t=10186
lai shuo 	來說	c=13 d=0.00375375 t=299031
lai wan 	來玩	c=1 d=1 t=183468
lai wan le 	來晚了	c=8 d=1.94649 t=211651
lai yi ben 	來一本	c=1 d=1 t=229604
lai yi bo 	來一波	c=2 d=1.956 t=56794
lai yi fen 	來一份	c=1 d=1 t=70288
lai yi ge 	來一個	c=36 d=0.000278804 t=299031
lai yi tang 	來一趟	c=1 d=1 t=285238
lai yi xia 	來一下	c=11 d=1 t=228689
lai yi xia si 	來一下死	c=1 d=1 t=197114
lai yuan 	來源	c=39 d=1.76721 t=233807
lai zhe 	來着	c=24 d=1 t=287874
lai zi 	來自	c=7 d=1.00001 t=284660
lan 	懶	c=0 d=0.1 t=245134
lan 	欄	c=6 d=1 t=251985
lan 	爛	c=17 d=1.9802 t=276976
lan 	藍	c=4 d=1 t=284693
lan dai ma 	爛代碼	c=1 d=1 t=143554
lan de 	懶得	c=4 d=1 t=213223
lan fa 	濫發	c=0 d=0.1 t=14595
lan hu 	藍湖	c=51 d=0.00848038 t=299031
lan jia zai 	懶加載	c=5 d=1.76338 t=252304
lan jiao 	懶覺	c=1 d=1 t=169916
lan jie 	攔截	c=16 d=1 t=259655
lan kai 	爛開	c=2 d=1 t=165840
lan mei 	藍莓	c=1 d=1 t=153402
lan qiu 	籃球	c=4 d=1 t=83308
lan qiu chang 	籃球場	c=1 d=1 t=121350
lan se 	藍色	c=8 d=1.77105 t=254959
lan se kuang xiang qu 	藍色狂想曲	c=1 d=1 t=154669
lan wei 	爛尾	c=1 d=1 t=148571
lan ya 	藍牙	c=35 d=1.99005 t=249942
lan yan 	讕言	c=1 d=1 t=5644
lan yan jing 	藍眼睛	c=1 d=1 t=156085
lan yong 	濫用	c=1 d=1 t=257593
lan yu 	蓝雨	c=1 d=1 t=215606
lan yu 	藍宇	c=1 d=1 t=113060
lan zi 	籃子	c=1 d=1 t=156495
lan zou yun 	藍奏雲	c=1 d=1 t=242144
lang 	浪	c=1 d=1 t=99291
lang 	狼	c=4 d=1 t=297535
lang fang 	廊房	c=1 d=1 t=153032
lang fei 	浪費	c=10 d=1 t=295599
lang huan 	狼獾	c=1 d=1 t=156214
lang ji 	浪跡	c=1 d=1 t=149655
lang ling ban 	狼領班	c=1 d=1 t=104218
lang man 	浪漫	c=2 d=1 t=258488
lang se 	狼色	c=1 d=1 t=254906
lang shi 	浪蝕	c=2 d=1 t=160399
lang xiang 	狼想	c=1 d=1 t=67509
lang xue 	朗雪	c=2 d=1.00341 t=26993
lang you 	浪遊	c=1 d=1 t=121972
lang zhu 	狼蛛	c=1 d=1 t=238071
lang zi 	浪子	c=4 d=1 t=229827
lang zi 	狼子	c=1 d=1 t=221705
lao 	佬	c=1 d=1 t=115228
lao 	勞	c=1 d=1 t=222690
lao 	老	c=235 d=0.00284277 t=299031
lao an suan 	酪氨酸	c=1 d=1 t=79171
lao bai xing 	老百姓	c=2 d=1.94176 t=156479
lao ban 	老闆	c=18 d=0.51643 t=299031
lao ban ben 	老版本	c=2 d=1.89583 t=287563
lao ban tian 	老半天	c=1 d=1 t=209056
lao chang shi jian 	老長時間	c=1 d=1 t=174539
lao chu 	老出	c=1 d=1 t=263405
lao da 	老大	c=3 d=1 t=286129
lao da ye 	老大爺	c=1 d=1 t=156113
lao de 	老的	c=2 d=1 t=287745
lao dong 	勞動	c=16 d=1 t=241058
lao dong bao zhang 	勞動保障	c=1 d=1 t=235130
lao dong fa 	勞動法	c=2 d=1 t=243842
lao dong he tong 	勞動合同	c=13 d=1 t=274534
lao dong he tong fa 	勞動合同法	c=1 d=1 t=219911
lao dong zhe 	勞動者	c=1 d=1 t=231680
lao dong zhong cai 	勞動仲裁	c=1 d=1 t=237666
lao duo 	老多	c=3 d=1 t=110782
lao er 	老二	c=2 d=1 t=135882
lao fan 	撈飯	c=1 d=1 t=265160
lao fan qie 	老番茄	c=1 d=1 t=138929
lao gao 	老高	c=1 d=1 t=273973
lao ge 	老歌	c=1 d=1 t=265022
lao gong 	勞工	c=1 d=1 t=7124
lao gong 	老公	c=1 d=1 t=7126
lao hu 	老虎	c=3 d=1 t=267858
lao jia 	老家	c=6 d=1 t=277505
lao jia huo 	老傢伙	c=1 d=1 t=25350
lao jiu 	老舅	c=6 d=1.01811 t=272234
lao kai 	老開	c=2 d=1 t=292917
lao ke 	嘮嗑	c=2 d=1 t=268036
lao lao 	嘮嘮	c=2 d=1.04264 t=222656
lao lao 	姥姥	c=6 d=0.1 t=292917
lao lao 	老姥	c=1 d=1 t=87442
lao lao jia 	姥姥家	c=1 d=1 t=292918
lao lao lao ye 	姥姥姥爺	c=1 d=1 t=99177
lao lao shi shi 	老老實實	c=1 d=1 t=83738
lao lei 	勞累	c=1 d=1 t=191257
lao leng 	老冷	c=1 d=1 t=265303
lao liu 	老劉	c=1 d=1 t=246656
lao ma 	老媽	c=3 d=1.95123 t=208254
lao mo kuai 	老模塊	c=4 d=2.63593 t=117293
lao pai 	老牌	c=1 d=1 t=290818
lao peng 	老碰	c=1 d=1 t=221012
lao po 	老婆	c=33 d=1 t=269761
lao qian 	老錢	c=1 d=1 t=7263
lao qing ge 	老情歌	c=1 d=1 t=228770
lao ren 	撈人	c=1 d=0.1 t=242564
lao ren 	老人	c=1 d=1 t=242566
lao sa 	老撒	c=1 d=1 t=149683
lao shan 	嶗山	c=2 d=1 t=257900
lao she bei ku 	老設備庫	c=5 d=1 t=204678
lao shi 	老實	c=2 d=1 t=110860
lao shi 	老師	c=10 d=2.18221e-05 t=299031
