# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	SyncTemp
a 	啊	c=1139 d=1.2665 t=331009
nan 	男	c=12 d=1.14147e-86 t=331009
nan 	难	c=26 d=0.29671 t=331009
nan ao 	难熬	c=0 d=1.30753e-126 t=331009
nan ban 	难办	c=2 d=3.16091e-120 t=331009
nan bian 	南边	c=1 d=0 t=331009
nan bian 	难辨	c=1 d=7.56569e-307 t=331009
nan cai nv mao 	男才女貌	c=1 d=2.58856e-248 t=331009
nan dao 	南岛	c=10 d=6.02084e-128 t=331009
nan dao 	难道	c=20 d=0.357007 t=331009
nan de 	男的	c=3 d=2.58177e-129 t=331009
nan de 	难得	c=1 d=4.40182e-200 t=331009
nan du 	难度	c=7 d=0.00615802 t=331009
nan du da 	难度大	c=1 d=7.61002e-170 t=331009
nan fang 	南方	c=4 d=4.9544e-62 t=331009
nan fang gong yuan 	南方公园	c=1 d=0 t=331009
nan fu 	南浮	c=1 d=0 t=331009
nan gao 	难搞	c=2 d=1.34653e-169 t=331009
nan hai 	男孩	c=1 d=9.08549e-196 t=331009
nan kai 	南开	c=3 d=2.72488e-146 t=331009
nan kai qu 	南开区	c=1 d=7.47888e-142 t=331009
nan kan 	难看	c=2 d=4.12995e-09 t=331009
nan lou 	南楼	c=1 d=0 t=331009
nan mian 	难免	c=1 d=5.98887e-87 t=331009
nan min 	难民	c=2 d=1.98511 t=308025
nan peng you 	男朋友	c=1 d=0 t=331009
nan quan 	南拳	c=5 d=1.96552e-236 t=331009
nan ren 	男人	c=3 d=1.31193e-47 t=331009
nan sha 	南沙	c=20 d=18.8844 t=314092
nan shou 	难受	c=11 d=2.02206e-19 t=331009
nan ti 	难题	c=2 d=1.12755e-316 t=331009
nan ting 	难听	c=1 d=0 t=331009
nan xiong nan di 	难兄难弟	c=1 d=1.22096e-172 t=331009
nan yi 	难以	c=1 d=7.55245e-22 t=331009
nan yi 	难移	c=1 d=3.74859e-310 t=331009
nan yong 	男用	c=1 d=8.87871e-278 t=331009
nan yong 	难用	c=1 d=8.92321e-278 t=331009
nan you 	男友	c=1 d=0 t=331009
nan zhan 	南站	c=5 d=1.64918e-62 t=331009
nan zhao 	难找	c=1 d=2.03076e-187 t=331009
nan zhu 	男主	c=1 d=8.49208e-313 t=331009
nang 	囊	c=2 d=8.22062e-225 t=331009
nang gua 	囊括	c=0 d=1.75046e-264 t=331009
nang kuo 	囊括	c=1 d=0 t=331009
nao 	挠	c=1 d=0 t=331009
nao 	脑	c=1 d=1 t=299690
nao 	闹	c=4 d=5.51527e-59 t=331009
nao can 	脑残	c=2 d=1.13586e-175 t=331009
nao dai 	脑袋	c=2 d=8.07621e-193 t=331009
nao dai gua zi 	脑袋瓜子	c=1 d=0 t=331009
nao dai teng 	脑袋疼	c=1 d=3.29327e-169 t=331009
nao gua zi 	脑瓜子	c=2 d=1.87595e-19 t=331009
nao hai 	脑海	c=0 d=0 t=331009
nao huo 	恼火	c=1 d=0 t=331009
nao ling 	闹铃	c=4 d=1.08927e-07 t=331009
nao long 	脑笼	c=1 d=0 t=331009
nao men zi 	脑门子	c=0 d=0 t=331009
nao xi da lao 	脑系哒唠	c=3 d=0 t=331009
nao xin 	闹心	c=4 d=5.59957e-61 t=331009
nao zhong 	孬种	c=1 d=0 t=331009
nao zi 	脑子	c=5 d=2.86672e-96 t=331009
ne 	呢	c=1078 d=0.846563 t=331009
ne 	讷	c=2 d=5.19606e-255 t=331009
ne ge 	呢个	c=1 d=0 t=331009
ne ma 	呢吗	c=1 d=2.80157e-150 t=331009
ne ne 	呢呢	c=2 d=0 t=331009
ne zhe ren 	呢这人	c=1 d=0 t=331009
nei 	内	c=103 d=0.749988 t=331009
nei bian 	内边	c=0 d=0 t=331009
nei bian kuang 	内边框	c=1 d=0 t=331009
nei bu 	内部	c=123 d=0.000117391 t=331009
nei bu cuo wu 	内部错误	c=1 d=0 t=331009
nei ce 	内测	c=1 d=0 t=331009
nei ceng 	内层	c=2 d=9.04896e-108 t=331009
nei cun 	内存	c=39 d=1.27233e-10 t=331009
nei cun tiao 	内存条	c=1 d=0 t=331009
nei cun xie lou 	内存泄漏	c=1 d=0 t=331009
nei cun zhong 	内存中	c=2 d=1.93657e-90 t=331009
nei dao 	内倒	c=1 d=1.29756e-182 t=331009
nei han 	内涵	c=1 d=0 t=331009
nei he 	内核	c=1 d=9.48874e-60 t=331009
nei ju xing 	内聚性	c=1 d=0 t=331009
nei juan 	内卷	c=2 d=0 t=331009
nei ku 	内裤	c=2 d=8.11058e-96 t=331009
nei lian 	内联	c=9 d=7.94516e-30 t=331009
nei lian hua 	内联化	c=1 d=3.9176e-35 t=331009
nei lu 	内录	c=1 d=0 t=331009
nei meng 	内蒙	c=1 d=1.651e-311 t=331009
nei meng gu 	内蒙古	c=1 d=1.66759e-310 t=331009
nei meng guo 	内蒙过	c=1 d=1.65927e-310 t=331009
nei qian 	内嵌	c=9 d=1.05317e-80 t=331009
nei quan 	内圈	c=1 d=0 t=331009
nei rang 	内瓤	c=3 d=0 t=331009
nei rong 	内容	c=495 d=0.000612871 t=331009
nei rong qu 	内容区	c=7 d=0.00505626 t=331009
nei ru 	内如	c=1 d=1 t=316504
nei shi 	内饰	c=1 d=2.73333e-153 t=331009
nei tui 	内推	c=6 d=1.00001 t=306303
nei tui 	内退	c=1 d=2.46783e-98 t=331009
nei wai 	内外	c=1 d=1.10153e-20 t=331009
nei wai wang 	内外网	c=21 d=1.91523e-145 t=331009
nei wang 	内网	c=170 d=8.84662e-145 t=331009
nei yi 	内衣	c=1 d=1.16914e-103 t=331009
nei zhi 	内置	c=25 d=2.86496e-30 t=331009
nei zhun 	内准	c=1 d=0 t=331009
neng 	能	c=704 d=0.856408 t=331009
neng bu 	能不	c=0 d=1.40932e-155 t=331009
neng bu jie 	能不结	c=1 d=1.41638e-154 t=331009
neng bu neng 	能不能	c=48 d=1.38351e-25 t=331009
neng dian 	能点	c=1 d=2.54099e-30 t=331009
neng en 	能恩	c=4 d=5.2093e-64 t=331009
neng fa 	能发	c=3 d=3.09421e-18 t=331009
neng fou 	能否	c=10 d=8.33539e-06 t=331009
neng gai 	能改	c=1 d=0 t=331009
neng ge 	能个	c=1 d=0 t=331009
neng geng xin 	能更新	c=1 d=3.97011e-309 t=331009
neng gou 	能够	c=3 d=1.67366e-21 t=331009
neng hao 	能耗	c=1 d=1.55462e-132 t=331009
neng he 	能和	c=1 d=5.53618e-221 t=331009
neng kan 	能看	c=3 d=0.516851 t=331009
neng li 	能力	c=13 d=1.39234e-41 t=331009
neng lian 	能连	c=1 d=0 t=331009
neng liang 	能量	c=1 d=0 t=331009
neng nai 	能耐	c=2 d=9.40019e-273 t=331009
neng qu 	能去	c=0 d=1.07622e-306 t=331009
neng qu diao 	能去掉	c=1 d=0 t=331009
neng qu gong si 	能去公司	c=1 d=1.08161e-305 t=331009
neng si 	能死	c=1 d=1.57894e-285 t=331009
neng xiao 	能效	c=1 d=1.6841e-132 t=331009
neng xing 	能行	c=2 d=3.96506e-59 t=331009
neng xu 	能徐	c=1 d=3.98132e-254 t=331009
neng xuan 	能选	c=1 d=4.00128e-254 t=331009
neng yong 	能用	c=4 d=3.11266e-35 t=331009
neng you 	能有	c=3 d=0.062662 t=331009
neng yuan 	能源	c=9 d=0 t=331009
neng yuan guan li 	能源管理	c=4 d=0 t=331009
neng yuan yun 	能源云	c=1 d=0 t=331009
neng zhu 	能住	c=1 d=1.13389e-184 t=331009
neng zuo 	能做	c=2 d=0.00213348 t=331009
ni 	你	c=3074 d=6.90058 t=331009
ni 	妳	c=2 d=3.24842e-96 t=331009
ni 	尼	c=3 d=5.95479e-96 t=331009
ni 	拟	c=1 d=1.06863e-310 t=331009
ni an 	尼庵	c=3 d=3.204e-228 t=331009
ni ba 	你把	c=3 d=4.4135e-143 t=331009
ni ben di 	你本地	c=1 d=0 t=331009
ni bian 	逆变	c=1 d=2.42506e-105 t=331009
ni bie 	你别	c=1 d=7.1568e-36 t=331009
ni bu 	你不	c=0 d=3.21383e-265 t=331009
ni bu de 	你不得	c=1 d=3.22994e-264 t=331009
ni bu hui 	你不会	c=0 d=0.1 t=313541
ni bu hui bu zhi dao 	你不会不知道	c=1 d=1 t=313542
ni bu shi 	你不是	c=1 d=0 t=331009
ni bu zhi dao 	你不知道	c=1 d=3.85352e-135 t=331009
ni cai 	你猜	c=1 d=1.6101e-74 t=331009
ni chi 	你吃	c=2 d=2.14778e-199 t=331009
ni da kai 	你打开	c=2 d=0 t=331009
ni da suan 	你打算	c=1 d=1 t=330137
ni de 	你得	c=12 d=3.4951e-17 t=331009
ni de 	你的	c=0 d=2.41118e-208 t=331009
ni de cheng nuo 	你得承诺	c=1 d=3.03522e-209 t=331009
ni de cheng nuo 	你的承诺	c=2 d=4.93285e-207 t=331009
ni de en 	你得恩	c=1 d=1 t=323892
ni deng 	你等	c=1 d=0 t=331009
ni deng shang qu 	你登上去	c=1 d=0 t=331009
ni ding 	拟定	c=2 d=9.38094e-102 t=331009
ni e le ba 	你饿了吧	c=1 d=5.56614e-20 t=331009
ni fa 	你发	c=2 d=0 t=331009
ni fan hui 	你返回	c=1 d=0 t=331009
ni feng 	逆风	c=1 d=0 t=331009
ni gai hao 	你改好	c=1 d=0 t=331009
ni gan jue 	你感觉	c=4 d=1.00502e-130 t=331009
ni gang gang 	你刚刚	c=1 d=1.1699e-287 t=331009
ni gang tie 	你钢铁	c=1 d=1.59149e-143 t=331009
ni gao su 	你告诉	c=1 d=3.8925e-77 t=331009
ni gei 	你给	c=1 d=0.00527382 t=331009
ni gen 	你跟	c=3 d=2.66882e-78 t=331009
ni gen ta 	你跟他	c=1 d=8.07072e-185 t=331009
ni gu la 	尼古拉	c=1 d=7.10906e-163 t=331009
ni guo 	尼国	c=1 d=0 t=331009
ni guo lai 	你过来	c=1 d=0 t=331009
ni hai 	你还	c=4 d=2.54204e-123 t=331009
ni hao 	你好	c=3 d=4.71117e-58 t=331009
ni hao 	妳好	c=4 d=1.08762e-135 t=331009
ni hao hao 	你好好	c=1 d=8.86993e-237 t=331009
ni he 	你和	c=2 d=1.70919e-12 t=331009
ni he 	拟合	c=1 d=0 t=331009
ni hui 	你会	c=5 d=6.05078e-296 t=331009
ni hui jia 	你回家	c=1 d=1.27677e-286 t=331009
ni jia 	你家	c=4 d=4.10576e-175 t=331009
ni jie yi ge tu 	你接一个图	c=1 d=0 t=331009
ni jiu 	你就	c=1 d=0 t=331009
ni ju 	逆局	c=1 d=1.13651e-123 t=331009
ni jue de 	你觉得	c=3 d=5.00525e-182 t=331009
ni kan 	你看	c=27 d=0.000227127 t=331009
ni kan kan 	你看看	c=10 d=1.83054e-259 t=331009
ni kan xia 	你看下	c=1 d=0 t=331009
ni kan yi xia 	你看一下	c=2 d=0 t=331009
ni ke la dao 	你可拉到	c=1 d=0 t=331009
ni ke yi 	你可以	c=3 d=2.71395e-40 t=331009
ni ku 	你库	c=1 d=0 t=331009
ni lai 	你来	c=1 d=0 t=331009
ni lia 	你俩	c=3 d=7.87274e-23 t=331009
ni liang 	你俩	c=1 d=0 t=331009
ni ma 	你妈	c=1 d=3.63638e-41 t=331009
ni ma 	拟妈	c=6 d=4.37305e-264 t=331009
ni mang 	你忙	c=1 d=2.4911e-32 t=331009
ni mei fa xian 	你没发现	c=1 d=6.37205e-287 t=331009
ni men 	你们	c=220 d=0.257947 t=331009
ni men liang ge 	你们两个	c=1 d=1 t=330643
ni men qi ta 	你们其他	c=1 d=2.63376e-187 t=331009
ni men ye shi 	你们也是	c=1 d=1.3577e-215 t=331009
ni min a 	你民啊	c=1 d=0 t=331009
ni ming 	匿名	c=2 d=0 t=331009
ni na 	你那	c=46 d=3.09633e-15 t=331009
ni na 	妮娜	c=1 d=0 t=331009
ni na bian 	你那边	c=22 d=2.24351e-05 t=331009
ni na ge 	你那个	c=4 d=8.34817e-24 t=331009
ni na li 	你那里	c=2 d=3.70542e-27 t=331009
ni ne 	你呢	c=1 d=0 t=331009
ni neng 	你能	c=2 d=1.06585e-15 t=331009
ni nin 	你您	c=1 d=0 t=331009
ni niu 	泥牛	c=1 d=1 t=321062
ni o 	你哦	c=1 d=0 t=331009
ni qiang dao 	你抢到	c=1 d=6.39911e-43 t=331009
ni ren 	拟人	c=1 d=0 t=331009
ni ren shi 	你人事	c=1 d=3.13946e-77 t=331009
ni shan 	你删	c=1 d=0 t=331009
ni shan huo 	你山货	c=1 d=0 t=331009
ni shan o 	你删哦	c=1 d=0 t=331009
ni shang wu 	你上午	c=1 d=0 t=331009
ni shi 	你是	c=3 d=3.24255e-16 t=331009
ni shi ni 	你是你	c=2 d=1.01233e-144 t=331009
ni shi shi 	你试试	c=4 d=0 t=331009
ni shi shuo 	你是说	c=3 d=4.06212e-06 t=331009
ni shua xin 	你刷新	c=1 d=0 t=331009
ni shuo 	你说	c=65 d=0.979397 t=331009
ni shuo 	你说	c=1 d=0 t=331009
ni shuo ba 	你说吧	c=2 d=0 t=331009
ni shuo de 	你说的	c=13 d=4.99722e-75 t=331009
ni shuo de ma 	你说的吗	c=1 d=9.88131e-324 t=331009
ni shuo de shi 	你说的是	c=1 d=2.47063e-317 t=331009
ni shuo de shi shen me 	你说的是什么	c=1 d=0 t=331009
ni shuo de wo dou zhi dao 	你说的我都知道	c=1 d=0 t=331009
ni su 	泥塑	c=2 d=0 t=331009
ni ta 	你他	c=1 d=7.16325e-311 t=331009
ni ting 	你听	c=0 d=1.44681e-111 t=331009
ni ting de dao wo ma 	你听得到我吗	c=1 d=1.45406e-110 t=331009
ni wang 	逆网	c=1 d=8.46747e-132 t=331009
ni wen 	你问	c=4 d=5.01975e-216 t=331009
ni wen wen 	你问问	c=5 d=1.56185e-12 t=331009
ni xia 	你下	c=2 d=7.75633e-100 t=331009
ni xian 	你先	c=11 d=0.000194515 t=331009
ni xian zai 	你现在	c=1 d=3.04389e-125 t=331009
ni xiang 	你想	c=1 d=2.68396e-262 t=331009
ni xu yao 	你需要	c=1 d=0 t=331009
ni yao 	你要	c=2 d=6.46987e-231 t=331009
ni yao shi 	你要是	c=1 d=0 t=331009
ni ye 	你也	c=2 d=2.02406e-60 t=331009
ni ye shi 	你也是	c=1 d=5.29704e-84 t=331009
ni ye yao 	你也要	c=1 d=0 t=331009
ni yi wei 	你以为	c=1 d=2.85768e-147 t=331009
ni ying gai 	你应该	c=1 d=3.19726e-262 t=331009
ni yong 	你用	c=3 d=2.20801e-289 t=331009
ni you 	你有	c=2 d=4.26429e-62 t=331009
ni zai 	你在	c=7 d=5.19497e-61 t=331009
ni zai shuo 	你再说	c=1 d=0 t=331009
ni zen me 	你怎么	c=2 d=0 t=331009
ni zhao 	你找	c=0 d=1.56152e-185 t=331009
ni zhao de 	你找的	c=1 d=1.56934e-184 t=331009
ni zhe 	你这	c=5 d=9.31729e-22 t=331009
ni zhe 	逆着	c=1 d=0 t=331009
ni zhe bian 	你这边	c=2 d=1.26577e-08 t=331009
ni zhe duan 	你这段	c=1 d=4.37777e-165 t=331009
ni zhe ge 	你这个	c=4 d=0.394554 t=331009
ni zhe jia huo 	你这家伙	c=1 d=0 t=331009
ni zheng yi xia 	你整一下	c=1 d=0 t=331009
ni zhi 	你只	c=2 d=1.42474e-135 t=331009
ni zhi dao 	你知道	c=15 d=2.46166e-38 t=331009
ni zhi dao zhe 	你知道这	c=1 d=1.11194e-248 t=331009
ni zhi qian 	你之前	c=1 d=1 t=300045
ni zi 	腻子	c=5 d=3.62776e-161 t=331009
ni zi ji 	你自己	c=4 d=5.60339e-69 t=331009
ni zuo 	你做	c=1 d=0 t=331009
nian 	念	c=4 d=2.08138e-65 t=331009
nian 	年	c=115 d=0.632454 t=331009
nian chu 	年初	c=1 d=0 t=331009
nian da xue 	念大学	c=1 d=0 t=331009
nian dai 	年代	c=1 d=0 t=331009
nian di 	年底	c=10 d=2.19906e-65 t=331009
nian er 	廿二	c=1 d=0 t=331009
nian fang 	年方	c=1 d=5.7312e-99 t=331009
nian fei 	年费	c=4 d=0 t=331009
nian fu 	年付	c=1 d=1.46758e-160 t=331009
nian fu 	粘附	c=1 d=1.46026e-160 t=331009
nian guo 	念过	c=1 d=0 t=331009
nian hou 	年后	c=4 d=8.44958e-19 t=331009
nian hua 	年华	c=1 d=5.89531e-137 t=331009
nian hui 	年会	c=1 d=6.06684e-239 t=331009
nian jia 	年假	c=9 d=2.08272e-37 t=331009
nian ling 	年龄	c=4 d=2.54812e-53 t=331009
nian o 	年哦	c=1 d=0 t=331009
nian qian 	年前	c=3 d=8.21696e-161 t=331009
nian qing 	年轻	c=0 d=3.36162e-147 t=331009
nian ren 	黏人	c=0 d=5.9708e-170 t=331009
nian ren ju le bu 	黏人具乐部	c=1 d=6.00073e-169 t=331009
nian shao 	年少	c=0 d=5.50353e-270 t=331009
nian shao shi 	年少时	c=1 d=5.53112e-269 t=331009
nian sui 	碾碎	c=1 d=0 t=331009
nian tou 	年头	c=1 d=1 t=303535
nian tou 	念头	c=1 d=2.1817e-60 t=331009
nian wan 	念完	c=0 d=1.52736e-72 t=331009
nian xian 	年限	c=17 d=5.2077e-31 t=331009
nian xin 	年薪	c=1 d=8.93833e-151 t=331009
nian yue 	年月	c=1 d=1 t=323382
nian yue ri 	年月日	c=2 d=0 t=331009
nian zhong 	年终	c=6 d=2.40575e-63 t=331009
nian zhong jiang 	年终奖	c=3 d=2.54039e-86 t=331009
niang 	娘	c=3 d=3.27274e-94 t=331009
niang 	酿	c=2 d=0 t=331009
niang er 	娘儿	c=1 d=1.39813e-32 t=331009
niang jia 	娘家	c=1 d=0 t=331009
niao 	尿	c=1 d=0 t=331009
niao 	鸟	c=21 d=5.05825e-12 t=331009
niao 	𪈼	c=1 d=0 t=331009
niao suan 	尿酸	c=1 d=1.08651e-123 t=331009
niao xing 	尿性	c=1 d=0 t=331009
nie 	捏	c=2 d=1.81415e-66 t=331009
nin 	您	c=214 d=0.116077 t=331009
nin da gai 	您大概	c=1 d=0 t=331009
nin de 	您的	c=2 d=6.24344e-18 t=331009
nin hao 	您好	c=231 d=0.57695 t=331009
nin jia 	您家	c=8 d=8.18498e-175 t=331009
nin jie shou 	您接受	c=1 d=0 t=331009
nin kan 	您看	c=4 d=2.70832e-45 t=331009
nin kan yi xia 	您看一下	c=4 d=3.88973e-98 t=331009
nin kang 	您康	c=1 d=7.96377e-87 t=331009
nin ke yi 	您可以	c=6 d=2.71351e-80 t=331009
nin lai 	您来	c=1 d=3.15456e-104 t=331009
nin le 	您了	c=1 d=0.00279479 t=331009
nin men 	您们	c=1 d=0 t=331009
nin nao 	您闹	c=1 d=1.13158e-160 t=331009
nin nin nin nin nin nin nin nin nin nin nin 	您您您您您您您您您您您	c=1 d=0 t=331009
nin qi wang 	您期望	c=1 d=4.26965e-18 t=331009
nin qing 	您请	c=1 d=1.87298e-206 t=331009
nin rang 	您让	c=1 d=3.24345e-78 t=331009
nin shi 	您是	c=3 d=0 t=331009
nin wo 	您我	c=1 d=6.42639e-93 t=331009
nin xian 	您先	c=1 d=0 t=331009
nin xian zai 	您现在	c=1 d=0 t=331009
nin xuan ze 	您选择	c=1 d=1.14295e-160 t=331009
nin you 	您有	c=1 d=4.24781e-134 t=331009
nin zhe bian 	您这边	c=2 d=1.5284e-79 t=331009
nin zhi dao 	您知道	c=1 d=2.73845e-175 t=331009
ning 	宁	c=2 d=5.34845e-80 t=331009
ning bo 	宁波	c=1 d=4.56386e-96 t=331009
ning ju 	凝聚	c=1 d=0 t=331009
ning li 	宁理	c=1 d=4.49898e-104 t=331009
ning meng shui 	柠檬水	c=2 d=1.03615e-06 t=331009
ning yuan 	宁愿	c=1 d=2.12618e-139 t=331009
niu 	牛	c=21 d=1.41733e-15 t=331009
niu 	钮	c=6 d=1.4119e-58 t=331009
niu ao 	纽澳	c=1 d=5.133e-155 t=331009
niu bi 	牛逼	c=21 d=0.00414854 t=331009
niu dai 	纽带	c=1 d=0 t=331009
niu dao 	扭到	c=0 d=0 t=331009
niu dao shi 	扭到是	c=1 d=0 t=331009
niu jin 	牛津	c=2 d=2.49959e-72 t=331009
niu jiu 	牛就	c=1 d=0 t=331009
niu nai 	牛奶	c=1 d=3.62852e-280 t=331009
niu niu 	牛牛	c=1 d=6.91687e-311 t=331009
niu pi 	牛皮	c=4 d=1.53267e-53 t=331009
niu yue 	纽约	c=2 d=5.44224e-108 t=331009
nong 	弄	c=177 d=1.85834 t=331009
nong 	浓	c=0 d=0 t=331009
nong cuo 	弄错	c=1 d=1 t=327388
nong de 	弄得	c=1 d=0 t=331009
nong hao 	侬好	c=1 d=0 t=331009
nong hao 	弄好	c=9 d=9.1286e-183 t=331009
nong le 	弄了	c=1 d=3.01168e-235 t=331009
nong ming bai 	弄明白	c=1 d=0 t=331009
nong nong 	弄弄	c=2 d=2.99127e-302 t=331009
nong suo 	浓缩	c=1 d=0 t=331009
nong suo jia yao 	浓缩加药	c=5 d=0 t=331009
nong tian 	农田	c=1 d=4.45956e-265 t=331009
nong wan 	弄完	c=3 d=6.09972e-185 t=331009
nong yi xia 	弄一下	c=1 d=0 t=331009
nu 	奴	c=1 d=1.80648e-310 t=331009
nu huo 	怒火	c=3 d=0 t=331009
nu huo gong xin 	怒火攻心	c=3 d=0 t=331009
nu lai 	怒来	c=2 d=0 t=331009
nu li 	努力	c=4 d=3.22926e-144 t=331009
nu li 	奴隶	c=2 d=2.5508e-272 t=331009
nu mu 	努目	c=1 d=0 t=331009
nu qian 	驽铅	c=1 d=6.42057e-288 t=331009
nuan 	暖	c=5 d=7.9972e-66 t=331009
nuan bao bao 	暖宝宝	c=1 d=0 t=331009
nuan he 	暖和	c=2 d=3.11402e-215 t=331009
nuan huo 	暖和	c=1 d=2.91727e-37 t=331009
nuan qi 	暖气	c=1 d=8.75353e-24 t=331009
nuan qi fei 	暖气费	c=1 d=8.79741e-23 t=331009
nun ma 	嫩吗	c=5 d=0.0123389 t=331009
nuo 	挪	c=14 d=1.24092e-10 t=331009
nuo 	诺	c=1 d=8.55639e-196 t=331009
nuo de 	诺的	c=5 d=7.05249e-216 t=331009
nuo dong 	挪动	c=0 d=0 t=331009
nuo shi 	挪是	c=1 d=0 t=331009
nuo shuo 	挪说	c=1 d=2.44605e-318 t=331009
nuo shuo de dao 	挪说得到	c=1 d=2.45831e-317 t=331009
nuo si 	诺斯	c=1 d=7.74559e-260 t=331009
nuo te 	诺特	c=1 d=0 t=331009
nuo wo 	挪窝	c=1 d=0 t=331009
nv 	女	c=9 d=9.1206e-283 t=331009
nv ren 	女人	c=1 d=1.30422e-192 t=331009
nv shen 	女神	c=2 d=4.55802e-316 t=331009
nv sheng 	女生	c=2 d=0 t=331009
nv sheng 	女声	c=1 d=0 t=331009
nv shi 	女士	c=2 d=1.65227e-84 t=331009
nv wang 	女王	c=1 d=7.57022e-79 t=331009
nv xing 	女性	c=1 d=0 t=331009
nv zhu 	女主	c=2 d=1.53864e-275 t=331009
o 	哦	c=320 d=0.0626612 t=331009
o 	喔	c=1 d=0 t=331009
o dui 	哦对	c=1 d=2.17026e-292 t=331009
o kan 	哦看	c=1 d=1 t=320779
o o 	哦哦	c=1206 d=0.300926 t=331009
o o o 	哦哦哦	c=1 d=0 t=331009
o po 	哦破	c=1 d=0 t=331009
ou 	偶	c=11 d=0.0261214 t=331009
ou 	藕	c=1 d=0 t=331009
ou er 	偶尔	c=5 d=3.56819e-318 t=331009
ou jia 	偶家	c=1 d=0 t=331009
ou le 	欧了	c=5 d=0.00546896 t=331009
ou lu 	欧路	c=9 d=2.01849e-58 t=331009
ou lu 	欧陆	c=3 d=1.54413e-156 t=331009
ou lu li 	欧路里	c=1 d=1 t=304901
ou mei 	欧美	c=1 d=4.76388e-130 t=331009
ou ou 	偶偶	c=1 d=0 t=331009
ou ren 	欧人	c=0 d=0 t=331009
ou shu 	偶数	c=1 d=0 t=331009
ou tong ou ren 	偶统欧人	c=1 d=0 t=331009
ou wen 	欧文	c=3 d=1.35697e-238 t=331009
ou xiang 	偶像	c=1 d=2.35508e-136 t=331009
ou yang 	欧阳	c=0 d=0 t=331009
ou yang jing 	欧阳靖	c=1 d=0 t=331009
ou yi 	欧意	c=2 d=3.48772e-42 t=331009
ou yuan 	欧元	c=3 d=5.29528e-190 t=331009
pa 	怕	c=51 d=0.186374 t=331009
pa 	爬	c=1 d=2.54715e-176 t=331009
pa chong 	爬虫	c=1 d=2.52119e-85 t=331009
pa ding dun xiong 	帕丁顿熊	c=3 d=0 t=331009
pa ge 	帕格	c=1 d=0 t=331009
pa pa 	怕怕	c=1 d=0 t=331009
pa shan 	爬山	c=1 d=0 t=331009
pa ta 	怕他	c=1 d=2.29115e-77 t=331009
pai 	徘	c=1 d=1.03054e-236 t=331009
pai 	拍	c=13 d=5.59309e-18 t=331009
pai 	排	c=36 d=0.102797 t=331009
pai 	派	c=3 d=1.49051e-19 t=331009
pai 	牌	c=4 d=0 t=331009
pai cha 	排查	c=265 d=3.93054e-15 t=331009
pai chu 	排除	c=28 d=1.04397e-47 t=331009
pai chu suo 	派出所	c=1 d=1.06038e-307 t=331009
pai chua 	排欻	c=2 d=0 t=331009
pai dan 	派单	c=1 d=1.58483e-35 t=331009
pai dui 	排队	c=7 d=3.20291e-225 t=331009
pai dui 	派队	c=0 d=6.29772e-297 t=331009
pai dui zhong 	排队中	c=2 d=6.45406e-224 t=331009
pai fa 	派发	c=2 d=9.96611e-108 t=331009
pai feng shan 	排风扇	c=1 d=2.15229e-18 t=331009
pai gu 	排骨	c=1 d=5.55222e-255 t=331009
pai hang 	排行	c=1 d=0 t=331009
pai hang bang 	排行榜	c=1 d=0 t=331009
pai huang gua 	拍黄瓜	c=1 d=1.35827e-308 t=331009
pai huang gua 	排黄瓜	c=1 d=1.35149e-308 t=331009
pai le 	拍了	c=1 d=0 t=331009
pai lie 	排列	c=5 d=7.43621e-16 t=331009
pai ming 	排名	c=1 d=0 t=331009
pai qi 	排期	c=1 d=4.92314e-18 t=331009
pai qi ji hua 	排期计划	c=1 d=1 t=323500
pai sheng 	派生	c=5 d=3.61506e-38 t=331009
pai shi pin 	排视频	c=1 d=5.60993e-259 t=331009
pai song 	派送	c=12 d=0.0966882 t=331009
pai song dao 	派送到	c=1 d=0 t=331009
pai su 	派速	c=1 d=0 t=331009
pai wan 	排完	c=1 d=2.63312e-96 t=331009
pai xiong 	排兄	c=1 d=1 t=324358
pai xu 	排序	c=69 d=0.0121846 t=331009
pai xun 	排寻	c=1 d=1.49178e-29 t=331009
pai zhao 	拍照	c=2 d=1.51958e-11 t=331009
pai zhao 	牌照	c=1 d=1.19612e-48 t=331009
pai zi 	牌子	c=9 d=3.03433e-18 t=331009
pan 	判	c=4 d=4.35001e-149 t=331009
pan 	盘	c=17 d=6.23369e-30 t=331009
pan dang 	叛党	c=1 d=0 t=331009
pan de ren 	盘的人	c=2 d=2.2454e-75 t=331009
pan dian 	盘点	c=1 d=0 t=331009
pan du 	判读	c=1 d=0 t=331009
pan duan 	判断	c=274 d=0.0422195 t=331009
pan duan ti 	判断题	c=2 d=0 t=331009
pan jing yang 	潘京阳	c=2 d=1 t=307620
pan qi dong 	盘启动	c=1 d=0 t=331009
pan suan 	盘算	c=2 d=4.04998e-73 t=331009
pan tu 	叛徒	c=1 d=1.02004e-145 t=331009
pan wei 	盘尾	c=1 d=0 t=331009
pan zi 	盘子	c=3 d=1.18332e-279 t=331009
pang 	旁	c=1 d=1 t=310496
pang 	胖	c=4 d=7.38485e-132 t=331009
pang bian 	旁边	c=14 d=4.57432e-12 t=331009
pang dun 	胖墩	c=1 d=0 t=331009
pang long 	胖龙	c=3 d=6.53601e-233 t=331009
